,author,title,date,text
0,Turgay Güler,İYİ Parti'yi döviz bürolarıyla yola getirmek,6 Aralýk 2023,"
Önce Pelin  Batu'nun ismi geçiyordu. Yazmıştım hatta. Sonra Ahmet  Türk. Son olarak da Selahattin Demirtaş'ın eşi Başak  Demirtaş. Görünen o ki günün sonunda HEDEP İstanbul'da İmamoğlu'nu  değil kendi adayını destekleyecek. İmamoğlu'nun uykuları kaçıyor! HEDEP'i nankörlükle suçluyormuş. Haklı, fevkalade kıyağı  dokunmuştu. Hatta bu uğurda başını belaya da sokmuştu. Bu uğurda yargılanıyor  da! Bazı CHP'lilere göre siyasette 24 saat bile çok  önemli. Demek istiyorlar ki çıkmadık candan ümit kesilmez. Yani HEDEP İstanbul'da  aday çıkarmayabilir. Bu ihtimal İmamoğlu'nun kulağına ne hoş geliyordur  ama. Lakin İmamoğlu'nun HEDEP'i ikna etmesi zor. Dağları ikna  etmek zorunda! O dağlar önceki seçimde iyi destek vermişti. Ama şimdi  sesleri-solukları pek işitilmiyor. İYİ Parti İttifak kapısını kapattı. GİK öyle münasip  gördü. Ama söz konusu Meral Akşener olunca insan ister istemez 'her an  her şey olabilir' diyor. Şu aşamada İYİ Parti İstanbul ve Ankara  dahil 81 ilde kendi adayıyla girecek seçime. Ekrem İmamoğlu'nun gözüne uyku girmiyor! Çaresiz, telaşlı ve panik! Bir o kadar da öfkeli. İYİ Parti'yi de nankörlükle suçluyor. Haklı! Zira İYİ  Parti uğruna CHP teşkilatlarını küstürmüştü. Belediyeye İYİ Partilileri  doldurdu. Olacak iş mi şimdi? Fatih Portakal 'bana giren çıkan yok' demiş İYİ  Parti'nin aldığı karar sonrası. Ne alakaysa? İYİ Parti'nin ittifak yok kararına  'bana  giren çıkan yok' diye karşılık vermek. Ya ittifak olsaydı? Ben bu  arkadaşları anlamıyorum, gerçekten anlamıyorum! Deniz Zeyrek 'bu karar AK Parti'ye yarar'  diyor. İsmail Saymaz, Meral Akşener'in seçim sonrası 'vay başıma'  diyeceğini iddia ediyor. Demem o ki İmamoğlu'na yakın ne kadar gazeteci varsa  Akşener'e saldırıyor. Bu arada İmamoğlu'na 'duygusal' yakınlığı  bulunan bazı İYİ Partili isimler de istifa ediyor. Bir el 'duygusal yöntemlerle' İYİ  Parti'nin içini karıştırıyor. Duygusal derken yanlış anlaşılmasın, fonsal  yani! Meral Akşener'i içeriden köşeye sıkıştırmaya çalışıyorlar. Birileri bu işler için kaç milyar lira ayırdı  acep? Hangi döviz bürolarında hareketlilik yaşanıyor? Daha kaç isim Meral Akşener'i caydırmak için istifa  ettirilecek? Ben bu soruları şimdiden peşin sorayım, siz gelişmeler  yaşandıkça irtibatı kurarsınız. Bu arada beyimiz 'İBB olarak şu kadar süt dağıttık'  diye ortalıkta dolaşmaya başladı. Bu süt işi benim midemi bulandırıyor, bunu da buraya  bırakayım. Beyimizin tek gündemi 'süt'!
"
1,Turgay Güler,İnanılmaz,5 Aralýk 2023,"
Beyimiz uzunca bir aradan  sonra 'İBB' eksenli gündemle nihayet arz-ı endam eyledi. Hadi, 'uzunca bir süre' deyip bırakmayalım.  Ete kemiğe büründürelim. Dört buçuk yıl aradan sonra! Karda yoktu, selde yoktu, depremde yoktu... Kıskanılacak tatilleriyle gündem oldu... Yabancı büyükelçilerle ihtişamlı yemek sofralarında  poz verdi. Bir süre cumhurbaşkanlığı adaylığı peşinde koştu.  Cesaret edip aday olamadı. Sonrasında yardımcılığa tav oldu. Ama kaybetti! Derken CHP genel başkanlık koltuğuna göz dikti, bu uğurda  da hayli ter döktü. İstanbul'un yolunu unuttu. Yine cesaret edip aday olamadı. Ama Özgür Özel  üzerinden partiyi ele geçirmeyi başardı! Nasıl başardığını da cümle alem  biliyor. Az gitti uz gitti dere tepe düz gitti derken seçim kapıya dayandı. Şunun  şurasında dört ay sonra beyimiz İstanbullunun önüne konulacak sandıkta hesap  verecek. Hal böyle olunca  da nihayet İstanbul'u hatırladı. Eli kulağındadır, çarşı-pazar turneleri bugün  yarın başlar. Reklam, tanıtım, algı işleri için ajansa hayli kabarık bir bütçe  tahsis edilmiş. Rakamı duyanın dudakları uçuklar. Yeri gelmişken hatırlamakta  fayda var; beyimizin reklam bütçesi deprem bütçesinden fazlaydı. Bu arada Sayıştay'ın İETT raporu çıktı ortaya. İETT  borçlanma limitini tam iki buçuk milyar lira aşmış. Aşılan kısım iki buçuk  milyar lira! Aşılmayanı siz hayal edin. Otobüslerin hali de ortada. Taşıma  ücretlerine yapılan fahiş zamlar da! İETT bu borçlanmayla filosuna yüzlerce yeni, gıcır gıcır  otobüs alabilirdi! Göstermelik birkaç metrobüs alındı, onlar da ilk  seferde yolda kaldı. Bir İstanbullu  olarak sorayım o vakit! İETT borç aldığı bu kadar parayla ne yaptı? Nereye  gitti bu para? Otobüs nerede, para nerede?... Hatırlarsanız İETT'nin bakım onarım ihalesini İmamoğlu'nun  has adamı ve son seçimde de milletvekili 'yaptığı' Özgür Karabat'ın mali  müşavirliğini üstlendiği firma almıştı. Dört milyar liralık ihale! İmamoğlu  kurultay sonrası Karabat'ı CHP'nin saymanlığına getirildi. Saymayı biliyor  adam. Neyse... Şimdi seçim yaklaştı ya! Beyimiz çıktı ortaya. İETT'yi  övdü hem de! O kadar otobüs yandı, kaza yaptı, lastiği-freni patladı ağzını açıp  İstanbullunun isyanı karşısında tek kelam etmemişti. İlk kez konuştu. 'İETT'de yolcu sayımız arttı' dedi. Peşine de ekledi: 'Arıza oranında inanılmaz bir düşüş yaşattık  biz. Tamam, arıza yapıyor ama arıza yapmayan araç olmaz'. Haklı! Otobüstür yanar, duman atar, yolda kalır,  freni patlar, kendi kendine gider... Önceki dönemden daha çok yolcu taşımış buna rağmen  otobüs arızalanmalarında inanılmaz bir düşüş yaşatmış! Hakikaten inanılmaz! Nasıl inanılsın? O halde soralım! Taşıma ücretlerine rekor zam yaptın. Yolcu sayısı da artmış. Otobüsler eskiye nazaran inanılmaz derecede az arıza  yapıyormuş! Eeee? İETT niye zarar ediyor öyleyse? Bu kadar borç  niye? Otobüslerin bu hali ne? Gerçekten inanılmaz! 
"
2,Kurtuluş Tayiz,Akşener ve siyasi harakiri,1 Aralýk 2023,"
CHP Genel Başkanı Özgür Özel, partisinin yerel seçimlerdeki işbirliği  teklifini, İYİ Parti Genel Merkezi'nde Meral Akşener'e iletti. Akşener, CHP'nin  teklifini, Genel İdare Kurulu'nda görüşerek karara bağlayacaklarını  duyurdu. Özgür Özel'in ziyaretinin zamanlaması planlı ve  hesaplı. Özel, Meral Akşener'in uzunca bir süre yıpratıldığı, parti içi kargaşa  ve sorunlarla iyice yorgun düşürüldüğü bir anda ziyaretini gerçekleştirdi. Ekrem İmamoğlu'na yakın CHP medyası, bir süredir  Meral Akşener'e yönelik baskı ve yıpratma yayınları sürdürüyordu. 81 ilde kendi  adaylarıyla seçime girmek istediğini açıklaması üzerine Akşener'e yönelik  kapsamlı bir linç kampanyası başlatılmıştı. Akşener'in bahsettiği, kendisini  hedef alan psikolojik harp yöntemi, işte CHP çevrelerinde ateşlenen bu linç  kampanyasıydı. Meral Akşener iyice yıpratıldıktan sonra, kıvama  geldiği düşünülerek önce Ekrem İmamoğlu tarafından telefonla arandı, ardından  da Özgür Özel'in ziyareti gerçekleşti. İYİ Parti'de  Meral Akşener'den başka CHP'yle ittifaka ayak direyen kimsenin olmadığı anlaşılıyor.  Daha önce partisi arkasında durmadığı için Akşener masaya dönmek zorunda kalmıştı. Bu kez de farklı  olması beklenmiyor. CHP, İYİ Parti'de bazı yönetici isimleri İstanbul ve Ankara  belediyeleri üzerinden ekonomik olarak bağlamış durumda. İYİ Parti'yi domine  eden bu yönetici grup, Akşener üzerinde baskı oluşturabiliyor. Ayrıca İYİ  Parti'nin kuruluşu esnasında yerleştirilen FETÖ'ye yakın bazı isimler de parti  içinde operasyon yapabilme kabiliyetine sahip. Akşener'in, İYİ Parti'yi bağımsız  müstakil parti haline getirmesi hayli zor görünüyor. Meral Akşener ""İstanbul  ve Ankara hariç seçimlere müstakil gireceğiz"" diyerek, bu kararı da GİK'e aldırtarak  kendisine bir çıkış yolu aralayabilir; fakat, bu formüle razı olması halinde  bile Meral Akşener'in siyasi iddiası biter ve ""lider"" kişiliği de büyük yara alır.  İYİ Parti de siyasi tarihe CHP'nin küsurat hesapları için kurulan, çalışan bir  parti olarak geçer. Bir lider için siyasi harakiri yapmak herhalde buna  denir. 
"
3,Kurtuluş Tayiz,Kara para beyaz soygun…,4 Aralýk 2023,"
Görgüsüz, sonradan görme ve ne oldum delisi kesimin  parası, yatı, katı, gezmesi, eğlencesi vs. milletin gözüne daha çok battı.  Kabul edelim ki onlarınki, bir ihtiyaçtı. Yılların eksikliğini, açığını böyle  kapatmaya çalıştılar. Bir tür eziklik, geri kalma duygusunu tatmine  yöneldiler. Dilan Polat ve benzerlerine yönelik toplumdan  yükselen tepki, bu sonradan görme hallerinden kaynaklandı. O şaşaalı hayatın  bedeli ağır oldu. Kamunun intikamı, diyelim buna. Sonunda neleri var neleri yok  hepsine el konuldu. Aptalca hevesleri yüzünden her şeylerini kaybettiler. Ne var ki, Dilan  Polat ve ""Şampiyonlar ligi"" masasının çevirdiği dolandırıcılık miktarı bankaların  aracılık ettiği fon dolandırıcılığı yanında devede tüy bile değil. Seçil Erzan'ın  beceriksizliği olmasa belki de fon dolandırıcılarının kimse farkında olmayacaktı.  Bankaların dolaylı yollardan, vergi sistemini atlatabilmek amacıyla oluşturduğu  bu fon çarkı, aslında buz dağının görünen yüzü sadece. Görünmeyen, ortaya çıkmayan,  deşifre olmayan kısmı ise çok büyük. Ve nedense, bu buz dağının altına bakmaya kimse pek istekli değil. Kara  para takip ediliyor edilmesine de beyaz soyguna bakan yok! Arkasında büyük finans çevreleri, bankalar olduğu  için de medya çok fazla üzerine gitmezdi şu ana kadar. ""Yok reklam veriyorlar"",  ""yok sponsor oluyorlar"" diye uzun süredir Dilan Polat'ı konuşuyordu toplum.  Arkasında bankaların olduğu dolandırıcılık çarkına ise nedense bir türlü sıra  gelmiyordu. Hatta, devletin vergi sistemini delebilmek için illegal yollardan  dolaşanları mağdur bile göstermeye çalıştılar. Gerçekte vergi sistemini arka kapıdan dolaşarak  atlatanlar genelde büyük finans çevreleridir; altta, ufak tefek dolandırıcılık  yapanlar değil. Hukuk önünde şüphesiz  iki taraf da eşittir; biri az, diğeri çok diye öncelik tanınmaz. Hukuk sistemi meseleye böyle bakar. Umarım, bankaların taşeron kullanarak devletten, toplumdan  çaldıklarını soruşturmaya da sıra gelir.
"
4,Kurtuluş Tayiz,Akşener'in intikamı,6 Aralýk 2023,"
Meral Akşener, 3 Mart'ta masadan kalktığında aklında şüphesiz  İYİ Parti için ayrı bir yola girmek vardı. B planı Ekrem İmamoğlu ile Mansur  Yavaş'lı bir adayla seçime girmekti. Bu iki isme de güveniyordu. Fakat ilk yan çizen Ekrem İmamoğlu oldu. İmamoğlu, rota değiştirerek Kılıçdaroğlu'na  yanaştı. Mansur Yavaş da İmamoğlu'nun peşinden gitti. O güne kadar Meral Akşener'e  yakın duran İmamoğlu ve Yavaş, bir anda Kılıçdaroğlu'nun ""barış"" elçisi  oluverdiler. Kılıçdaroğlu'nun şantajlarını Akşener'e ileten kuryelere dönüştüler. Meral Akşener için  en büyük hayal kırıklığı, o güne kadar kendisine yakın duran İmamoğlu ve Yavaş'ın  Kılıçdaroğlu'nun goygoycusu olup çıkıvermeleriydi. Seçim gecesi Kılıçdaroğlu'nun  çığırtkanlığını yapmaları ise herkes için olduğu kadar Akşener için de mide  bulandırıcıydı. 14-28 Mayıs'ta  Kemal Kılıçdaroğlu ile birlikte en büyük kaybeden Ekrem İmamoğlu ve Mansur Yavaş'tı.  Muhalefet açısından tek haklı çıkan da Meral Akşener. Kurt kışı geçirir ama yediği ayazı da unutmaz. Akşener için de böyle  oldu. İmamoğlu ve Yavaş'ın ihanetini unutması mümkün değildi; Akşener masadan  kalktığında İmamoğlu ve Yavaş'ın yanında saf tutmadıklarına değil, iki ismin Kılıçdaroğlu'nun  kurşun askerine dönüşmelerine inanamadı. Siyasette hesaplar kişiseldir elbet  fakat Akşener için İmamoğlu ve Yavaş'ın yaptığının adı düpedüz ihanetti.  Çirkin, iğrenç ve kabul edilemez bir davranıştı. Meral Akşener için  ittifak, masadan kalktığı 3 Mart'ta bitmişti. Partisi kendisini desteklemedi  fakat zaman Akşener'i haklı çıkardı. Akşener'in yerel seçimlerde de CHP'yle  ittifaka yanaşmayacağını bildikleri için son bir hamle yaptılar; iftira ve  psikolojik harple Akşener'i istifaya zorladılar. Akşener dik durunca GİK'ten  CHP'nin ittifak teklifine ""hayır"" kararı çıktı. Ekrem İmamoğlu ve  Mansur Yavaş son dakikaya kadar Akşener'i etki altına almaya çalıştı. Siyasetin  onuruna, gururuna yakışmayacak bir gevşeklikle Akşener'in aklını çelmeye çalıştılar. Başta da söylediğimiz  gibi kurt kışı geçirir ama yediği ayazı unutmaz. Seçim boyunca Meral Akşener'in  onuruyla oynadılar. Akşener'in bunu unutması, içine sindirmesi mümkün değildi.  CHP'nin, İmamoğlu ve Yavaş'ın siyasi kariyeri için kendi partisini paspas  yapamazdı. Ve Akşener'in  intikamı acı oldu. İYİ Parti'nin GİK kararı İmamoğlu ve Yavaş'ın dar görüşlü,  basit, ucuz, şahsi çıkarlarını öne aldıkları hesaplarını, hayallerini suya düşürdü.  Özgür Özel için de genel başkanlığın sonu göründü. Özel, CHP'nin en kısa süreli  genel başkanı olarak tarihe geçebilir. İmamoğlu ve Yavaş kaybedince Özgür  Özel'i bakalım o koltukta kim, ne kadar tutabilecek? 
"
5,Kurtuluş Tayiz,AK Parti'nin İstanbul adayı,8 Aralýk 2023,"
İstanbul için gözler AK Parti'nin açıklayacağı adayda. Ankara adayı da en  az İstanbul kadar merak konusu. Ne var ki, bu iki şehir için de AK Parti ser  verip sır vermiyor. Cumhurbaşkanı Erdoğan  ""Yeniden İstanbul"" diyerek, 31 Mart'ta öncelikli olarak bu şehre odaklanılacağını işaret etti.AK Parti'de İstanbul  için uzun süredir alttan alta bir adaylık yarışı zaten sürüyor. İsmi geçen çok sayıda  aday var. İstekli olan çok sayıda isim var. İstanbul'u gönlünden geçirmeyen bir  belediye başkanı zaten yok. Medyaya bakıldığında İstanbul'a talip olan isimleri  rahatlıkla görebiliriz. Baştan söylemek  gerekirse; AK Parti'nin çıkaracağı, MHP ve Cumhur ittifakı ortaklarının da  destekleyeceği başkan adayı kim olursa olsun, CHP adayı Ekrem İmamoğlu'ndan çok  daha büyük hizmetlere imza atacak kalitede olacağından şüphe yok. Belediyecilik  işini AK Parti'den daha iyi yapacak tecrübeye, birikime sahip başka bir parti  yok. Partilerin genetik  kodları adayların niteliklerini de belirler. CHP'li adayların şahsi becerileri  ne kadar yüksek olursa olsun, iş belediyeciliğe geldiğinde CHP genetiğinin dışına  çıkamıyorlar. Adayın kapasitesi burada o kadar da önemli değil; partilerin  kadro, tecrübe ve birikimi hizmette ve belediye yönetiminde belirleyici  oluyor. Evet, AK Parti'de İstanbul için birçok aday ismi  geçiyor; medyada, kulislerde çok sayıda kişinin ismi aday olarak dolaşıyor. 6 Şubat  depremlerinde kendisini çalışkanlığıyla, hızlı çözüm üretme kabiliyetiyle  gösteren Murat Kurum bu isimlerin başında geliyor. Tevfik Göksu, bitmek bilmez  enerjisiyle, hatipliğiyle, belediyecilikteki tecrübesiyle kendisini kanıtlamış  bir isim. Fatih Belediye Başkanı M. Ergün Turan, kentsel dönüşümü en iyi bilen  isimlerden. İstanbul'a hakim bir isim. AK Part'nin aradığı aday profiline  uyuyor. Ümraniye Belediye Başkanı İsmet Yıldırım da keza kendisini kanıtlamış  bir isim. Adı kulislerde sık sık geçiyor. Eski Ulaştırma Bakanı Adil  Karaismailoğlu var. Tuzla Belediye Başkanı Şadi Yazıcı var. AK Part'nin İstanbul'da  daha birçok liyakatlı belediye başkanı adayı bulunuyor. Adı geçen bu  isimlerin hemen hemen hepsi Ekrem İmamoğlu'ndan kat be kat daha fazla ve daha  iyi bir şekilde İstanbul'a hizmet edebilir ve seçimlerde ipi göğüsleyebilir. Kabinede olan  bakanlardan Sağlık Bakanı Fahrettin Koca, İçişleri Ali Yerlikaya'nın da adları  aday olarak geçiyor. Eski içişleri bakanımız Süleyman Soylu'nun adını hem İstanbul  hem Ankara için anketlerde sık sık görüyoruz. Doğrusu, kabinede görev alan  isimlere ben pek ihtimal vermiyorum. İstanbul'u en iyi bilen isim şüphesiz Cumhurbaşkanı Erdoğan.  İstanbul aşkını canı gönülden yaşayan bir lider. Adayın belirlenmesinde gözler  Erdoğan'da olacak. Kulislere göre de Erdoğan önce bir profil üzerinde çalışma  yürütülmesini istemiş. Yani adayın kim olacağından önce nasıl biri olacağı  üzerinde duruluyor. Sonra bu profile uyan adaylara doğru gidilecek. AK Parti teşkilat  başkanlığının hazırlayıp Cumhurbaşkanı Erdoğan'a sunacağı nihai çalışmanın ve  raporun belirleyici olacağını söyleyelim. Erdoğan, aday ismi açıkladığı gün,  Ekrem İmamoğlu dönemi de bir daha açılmamak üzere kapanacak.
"
6,Hikmet Genç,HEDEP/PKK ile idare edin artık!,9 Aralýk 2023,"
İttifak olmadı, bari işbirliği yapalım Meral abla"" dedi aprantis  Özel... İstenmeyen Bay  Kemal artık yok. CHP değişti, engel de kalktığına göre, neden olmasındı?! İşbirliği nedir,  ittifaktan farkı nedir, yuvarlak masa şartı aranır mı, işbirliği için  dikdörtgen masa yeterli mi bilemiyoruz. Her neyse, GİK'e  soruldu, sonuç; 'işbirliğine hayır' çıktı ve kesin kararını bildirdi Akşener; ""Adına 'ittifak'  dedikleri manda ve himaye tuzağına geçit vermeyeceğiz. Bu kutlu mücadelede hür  ve müstakil olarak dimdik yürüyeceğiz.""  ""Manda ve himaye  tuzağı"" diyor Akşener. Ama bu cümleler CHP ile işbirliği yapmayacağına dair  kesin bir hüküm içermiyor... Öyle ya, ""kumar ve  noter masası"" bile 1-2 gün içerisinde birden kendi kendine millet iradesine  dönüşebiliyor... Masaya dönebiliyorsun... Manda ve himaye  tuzağı ne ki?.. Bunu bilen Özel  haklı olarak şansını tekrar tekrar deniyor. Denemek de  zorunda. Sadece HEDEP/PKK oylarıyla mümkün değil tabii. Masa ortadan kalkınca  HEDEP için gizlenecek saklanacak bir yer kalmadı. Demirtaş'a selam çakarak,  'daha az eşit' gibi söylemlerle ve nihayetinde Soprano Pervin'in elini öperek  biat törenini de gerçekleştirdi Özel. Yani HEDEP cepte. CHP-HEDEP'li yuvarlak  masa ittifakı İyi Parti için de bir sorun teşkil etmiyor nasıl olsa. Son  seçimlerde gördüm. Mesele Akşener ablayı ikna etmekte... ""Hayır"" dediler  ama dediğim gibi Özgür Özel tekrar tekrar şansını deniyor: ""İyi Parti, iyi  insanların, çağdaş insanların partisidir. Atatürk'ü seven insanların  partisidir. Geçmişte birlikte başarılar elde ettiğimiz, bundan sonra da  Türkiye'de birlikte çok şey başaracağımız iyi insanların partisidir. Eski  dosttan düşman olmaz!"" İyi Parti'den  cevap yok. Bu saatten sonra  masaya bir daha dönmek zor. Artık HEDEP ile idare edeceksiniz... Bir daha zorlarsan  eski dost Meral ablan: 'Oğlum bak git' deyip kafana zopayı indirir. Diyim ben sana...
"
7,Hikmet Genç,"O iki kriter varsa, soykırım meşrulaşırmış!",6 Aralýk 2023,"
Dünyanın gözü önünde canlı görüntülerle devam eden bir soykırıma  da kılıf bulamazlar artık' diyorduk. Öyle  ya, enkazın altında kalmış bedenler, uzuvlarını kaybetmiş çocuklar, paramparça  olmuş bebekler!.. ""Böyle  bir vahşete kılıf bulmak, mazeret uydurmak mümkün mü?.."" diye sorduk  defalarca... (İnsan olana tabii.) Soykırımın  sponsoru ABD'deymiş cevabı. Cumhuriyetçi  Senatör Lindsey Graham'a göre; Gazze'dekiler çok sıkışık bir alanda yaşıyormuş.  Hamas'a yönelik saldırı düzenlerken İsrail'in sivilleri gözetmesi imkansızmış!?  Yetmiyor bir de örneğini veriyor Graham. Diyor  ki; ""Pearl Harbor (baskınından) sonrası çok fazla insanın ölmesi ve II. Dünya  Savaşı'nın ne olduğunu biliyor musunuz? Amerikan kamuoyu, 'Tokyo ve Berlin'i  yok etmek için kaç kişinin öldüğü konusunda endişelendi mi?"" Evet,  Berlin'de ve Tokyo'da (atom bombalarıyla) en az 600 bin sivil öldü. Sivilleri  gözetmek o zaman da imkansızdı değil mi?.. Toplamda kaç milyon sivil kadın  çoluk çocuk ölmüşse ölmüş. Tek tek sayacaklar mıydı yani?!.. Hem ABD ve dünya  kamuoyu da endişelenmemişti! Kızılderililerin  de durumu aynıydı... 20 milyondan fazla Kızılderili ABD'nin selameti için  katledildi. Kim sivil, kim çocuk, kim savaşçı.., onu mu gözeteceklerdi?.. Toplu  bir şekilde soykırım uyguladılar, Kızılderililerden kurtuldular. Ve Vahşi Batı  medeniyeti dünyaya hakim oldu. Demokrasi kazandı. ABD ve dünya kamuoyu da endişelenmemişti  üstelik! ABD  Vietnam'ı işgal etti. (1955-1973) Milyonlarca sivili öldürdü. Kimyasal  bombalarla sık ormanları zehirleyip bitkileri çürüttü. İnsan vücuduna yapışarak  acı içinde öldüren 'napalm' bombalarını denedi. ABD'nin Vietnam'daki âlî  menfaatleri için elzemdi soykırım. ABD ve dünya kamuoyu yine endişelenmemişti!? Keza  Afganistan'ı işgal etti ABD. 20 yıl boyunca yüz binlerce sivil Afganlıyı  öldürdü.., Irak'ı  işgal etti yüzbinlerce sivili öldürdü. Süren işgalde toplamda milyonlar hayatını  kaybetti. ""ABD'nin Irak'ı işgal etmesiyle 500 bin bebek/çocuk öldü. Ne  diyeceksiniz?"" diye sormuşlardı dönemin ABD Dışişleri Bakanı Madeleine  Albright'a. Ne cevap vermişti?.. ""ABD Irak politikaları doğruydu. Buna değdi!.."" Velhasıl  ABD politikaları her şeye değerdi?! Medeniyetin,  özgürlüğün, demokrasinin ve dahi ABD'nin selameti için milyonlarca sivil çoluk  çocuk ölebilirdi. Sivilleri  gözetmek mümkün değilse ve ABD kamuoyu endişelenmiyorsa her türlü soykırım  mümkündü!.. Peki  ya Hitler?!.. Ekonomide  sanayide devrim yapacak, ama sermaye Alman'da değil, Siyonistlerin elinde.  Safkan 'Aryan' olan Almanlar 3'üncü Reich İmparatorluğu'nu kurmasınlar mıydı?!..  Hitler bu yüzden soykırım uyguladı. Soykırımın  meşruiyeti için birinci kriter vardı. Graham'ın dediği gibi 'çok sıkışık' bir  alanda; 'Getto'larda yaşıyorlardı Yahudiler. Tek tek sivilleri gözetemezdi  Hitler. Savaşırken onlarla mı uğraşacaktı?.. İkinci  kriter de tamamdı. Alman kamuoyu katliamlar konusunda hiç endişelenmemişti!.. Uzun uzun söverdim ama yerim bitti Graham!..
"
8,Hikmet Genç,‘İyi polis-kötü polis'i oynamaya başladılar...,4 Aralýk 2023,"
Katliam o kadar aleni bir şekilde  gerçekleşiyor ki, artık kılıf bulmak mümkün değil... Şöyle demiştik; ""Bir sonraki gün sivillerin üzerine kaç bomba atılacağını,  kaç kadın ve bebeğin öleceğini, yeni rakamların ne olacağını tartışıyoruz. İnsani  ara bittiğinde biliyoruz ki, yine bebekler ölecek, hastaneler bombalanacak,  ambulanslara, sivil konvoylara ateş açılacak..."" Evet, soykırım kaldığı yerden devam ediyor... Soykırımcı İsrail ve sponsorları katliam  gerekçelerini anlatmakta zorlanıyor. Dünyanın dört bir yanında insanlar Gazze'deki soykırımı  protesto ediyor. Çok geniş katılımlı yürüyüşler düzenleniyor. Ve özellikle ABD  ve Avrupa ülkelerinde bu tür eylemler artarak devam ediyor... ABD İletişim Koordinatörü John Kirby, ""insani aranın  ardından İsrail'e ihtiyaç duydukları araç ve kabiliyetleri sunmaya devam edeceğiz""  demişti. Yani İsrail'e 'katliama devam edebilirsiniz, arkanızdayız'  mesajı vermişti. Önceki gün ABD Başkan Yardımcısı Kamala Harris ise;  ""Açıkçası sivillerin çektiği acıların boyutu ve Gazze'den gelen görüntü ve  videolar yıkıcı"" dedi... Çok rahatsız olmuşlar. Siviller çocuklar ölmesinmiş!.. Hadi ya?!.. Soykırımcıya kimse dokunmasın diye uçak  gemileri ve nükleer denizaltılarınla gel. Her türlü silah ve mühimmatı ver.  Sonra 'sivillerin çektiği acılar yıkıcı' de... Kirby de 'insani aradan sonra katliama devam'  diyor. 'İyi polis-kötü polis'i oynamaya başladılar. Bu arada Siyonist katil İsrail katletmeye devam  ediyor. Ve bunu, bütün dünyaya göstere göstere yapıyor. Katliamcıların soykırımcıların kendilerine göre  'kutsal hedefleri' var. Bütün dünya gördü bunu, bizim örümcek kafalı  solcularımız hariç!.. Onlara göre Hamas laik olmadığı için katliamı hak  ediyor!.. Ha bir de İngiliz, Amerikalı ya da Fransız değil, Müslüman Araplar  bunlar. Bizim çağdaş laik aydınlanmacı solcularımızın Amalekleri!.. Sevilmez  desteklenmez yani!.. O kadar mı?.. Evet maalesef o kadar bizim aydınlanmacı gerzek  solcular!.. 
"
9,Hikmet Genç,Hiç değişmeyen “CHP/HEDEP tezkere kardeşliği!”,2 Aralýk 2023,"
CHP'de değişim oldu"" deyip hayal satan arkadaşlar. Neyin değiştiğini bir  deyiverin hele... Hiç hissettirmiyorlar. Sanki Genel Başkanı değişmemiş,  kurultay olmamış gibi duruyor CHP... Kurultay konuşmaları  bile aynıydı. Delegelerden oy isterken her ikisi de (eski ve yeni genel başkan)  Demirtaş ve Kavala'ya selam çakarak delegelerden oy istemişlerdi. CHP'nin değişimci  yeni genel başkanının Türkiye'yi işgalci gören 'Pervin Chakar'ın elini  öptü. Soprano Pervin'den  sonra, HEDEP'li Pervin'e selamlar... Hasılıkelam  CHP'nin ""temel değerlerinde"" değişen bir şey olmayacağının sinyalleriydi  bunlar. Irak ve Suriye'ye  asker göndermek için gerekli olan son tezkereye tıpkı HDP/PKK gibi 'hayır' demişti  eski genel başkan Bay Kemal. CHP ile HDP arasında bir tezkere kardeşliği oluşmuştu.  Hatta terörist elebaşları Kandil'den ""CHP hayırlı bir iş yapmıştır"" diyerek şükranlarını  iletmişti CHP'ye. Bu sefer de Libya  tezkeresi Meclis'e geldi. Değişimci yeni CHP  n'aptı?.. Yine ""CHP/HDP tezkere kardeşliği"" tezahür etti. Yeni CHP, HEDEP ile  birlikte ""tezkereye hayır"" dedi... Değişimci CHP, yine Kandil'in hayrına çalıştı!.. ""TSK'nın (PKK'ya  yönelik) kimyasal silah kullandığı iftirasının ardından TTB Başkanı Fincancı  görevden alındı. Doğal olarak terör  örgütü PKK'yı savunmak üzere Fincancı'ya ilk destek HEDEP'ten geldi. Yeni değişimci CHP  durur mu?.. Onlar da ""hepimiz Fincancıyız"" dedi. Hatta ortak basın açıklaması  yaptılar... Yeni ve değişimci  CHP ayrıca 'Kayyum' atamalarına da karşı... Nasıl HDP, HEDEP  olunca bi'şey değişmiyorsa, CHP'de de koltuktaki isim değişince bi'şey değişmiyor.  Değişimci Özgür  Özel aynen ustası 'gelenekçi Bay Kemal'in izinden gitmeye devam ediyor. Gelen gideni aratmıyor!.. Allah aşkına biri  söylesin bana. Değişimciler geldi de, CHP'de ne değişti acaba?..
"
